18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:33:18.594775 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4ms
10:33:18.610888 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:22.598557 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 5.1ms
10:33:22.614162 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:26.602199 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4ms
10:33:26.618380 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:30.603750 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.4ms
10:33:30.619473 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:34.611818 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 500µs
10:33:34.627175 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:38.613906 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:33:42.629024 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 9ms
10:33:42.644256 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:46.636670 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:33:50.647059 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:33:54.652834 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.1ms
10:33:54.668285 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:33:58.658762 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:02.661434 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2.2ms
10:34:02.676911 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:06.677193 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:10.688249 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:14.689882 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.3ms
10:34:14.706061 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:18.705537 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:22.717973 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1ms
10:34:22.733538 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:26.723931 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4ms
10:34:26.739928 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:30.730688 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 6.2ms
10:34:30.746743 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:34.737966 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 1.5ms
10:34:34.753767 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:38.747694 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 3.9ms
10:34:38.763182 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
